,UK,US,IsVariant
201,optimised,optimized,variant
202,fluidised,fluidized,variant
203,linearised,linearized,variant
204,discretise,discretize,variant
205,Centres,Centers,non+AC0-variant
206,Centre,Center,non+AC0-variant
207,greyish,grayish,non+AC0-variant
208,grey,gray,non+AC0-variant
209,metalization,metallization,non+AC0-variant
210,Artefact,Artifact,non+AC0-variant
211,artefacts,artifacts,non+AC0-variant
212,enquire,inquire,non+AC0-variant
213,Artefacts,Artifacts,non+AC0-variant
214,artefact,artifact,non+AC0-variant
215,analogues,analogs,non+AC0-variant
216,dialogue,dialog,non+AC0-variant
217,analogue,analog,non+AC0-variant
218,licences,licenses,non+AC0-variant
219,defences,defenses,non+AC0-variant
220,offence,offense,non+AC0-variant
221,licence,license,non+AC0-variant
222,defence,defense,non+AC0-variant
223,centredness,centeredness,non+AC0-variant
224,judgements,judgments,non+AC0-variant
225,Defence,Defense,non+AC0-variant
226,practise,practice,non+AC0-variant
227,Practise,Practice,non+AC0-variant
228,practised,practiced,non+AC0-variant
230,practising,practicing,non+AC0-variant
231,practises,practices,non+AC0-variant
232,judgement,judgment,non+AC0-variant
233,Acknowledgement,Acknowledgment,non+AC0-variant
234,acknowledgements,acknowledgments,non+AC0-variant
235,Ageing,Aging,variant
236,acknowledgement,acknowledgment,non+AC0-variant
237,Judgements,Judgments,non+AC0-variant
238,Acknowledgements,Acknowledgments,non+AC0-variant
239,ageing,aging,non+AC0-variant
240,oedema,edema,non+AC0-variant
241,diarrhoea,diarrhea,non+AC0-variant
242,tachypnoea,tachypnea,non+AC0-variant
243,foetus,fetus,non+AC0-variant
244,dyspnoea,dyspnea,non+AC0-variant
245,neutralised,neutralized,variant
246,localiser,localizer,variant
247,colonisers,colonizers,variant
248,oxidiser,oxidizer,variant
249,Recognising,Recognizing,variant
250,formalised,formalized,variant
251,socialising,socializing,variant
252,unmagnetised,unmagnetized,variant
253,conceptualised,conceptualized,variant
254,recognises,recognizes,variant
255,customisation,customization,variant
256,medicalisation,medicalization,variant
257,hyperpolarised,hyperpolarized,variant
258,demoralise,demoralize,variant
259,visualisations,visualizations,variant
260,authorise,authorize,variant
261,visualised,visualized,variant
262,andomised,andomized,variant
263,stigmatising,stigmatizing,variant
264,parallelisation,parallelization,variant
265,marginalisation,marginalization,variant
266,jeopardises,jeopardizes,variant
267,conceptualisations,conceptualizations,variant
268,decolonised,decolonized,variant
269,stabiliser,stabilizer,variant
270,idealised,idealized,variant
271,dimensionalised,dimensionalized,variant
272,randomising,randomizing,variant
273,commercialisation,commercialization,variant
274,Randomisation,Randomization,variant
275,unifocalisation,unifocalization,variant
276,visualisation,visualization,variant
277,Normalising,Normalizing,variant
278,materialise,materialize,variant
279,ionised,ionized,variant
280,specialising,specializing,variant
281,tokenising,tokenizing,variant
282,catheterisation,catheterization,variant
283,capitalise,capitalize,variant
284,arborisation,arborization,variant
285,hydrolyse,hydrolyze,variant
286,Organisation,Organization,variant
287,organising,organizing,variant
288,stabilising,stabilizing,variant
289,automatised,automatized,variant
290,nebuliser,nebulizer,variant
291,colonised,colonized,variant
292,homogenisation,homogenization,variant
293,trypsinised,trypsinized,variant
294,globalisation,globalization,variant
295,mobilising,mobilizing,variant
296,valorise,valorize,variant
297,traumatising,traumatizing,variant
298,depersonalisation,depersonalization,variant
299,oxidisers,oxidizers,variant
300,devascularisation,devascularization,variant
301,somatise,somatize,variant
302,Initialisation,Initialization,variant
303,catalysed,catalyzed,non+AC0-variant
304,digitalised,digitalized,variant
305,theorise,theorize,variant
306,prioritisation,prioritization,variant
307,stabilisers,stabilizers,variant
308,motorised,motorized,variant
309,acclimatisation,acclimatization,variant
310,Summarise,Summarize,variant
311,crystallise,crystallize,variant
312,underutilised,underutilized,variant
313,externalising,externalizing,variant
314,personalising,personalizing,variant
315,reconceptualisation,reconceptualization,variant
316,generalisable,generalizable,variant
317,annualised,annualized,variant
318,subspecialisation,subspecialization,variant
319,standardisation,standardization,variant
320,alloimmunised,alloimmunized,variant
321,Stabilisation,Stabilization,variant
322,liberalisation,liberalization,variant
323,normalise,normalize,variant
324,hospitalisations,hospitalizations,variant
325,decontextualisation,decontextualization,variant
326,heparinised,heparinized,variant
327,Vascularisation,Vascularization,variant
328,randomise,randomize,variant
329,Formalising,Formalizing,variant
330,electrocauterisation,electrocauterization,variant
331,summarising,summarizing,variant
332,optimiser,optimizer,variant
333,hydrolysed,hydrolyzed,variant
334,Specialised,Specialized,variant
335,centralised,centralized,variant
336,magnetised,magnetized,variant
337,generalising,generalizing,variant
338,embolisation,embolization,variant
339,ionising,ionizing,variant
340,decentralisation,decentralization,variant
341,embolised,embolized,variant
342,somatisation,somatization,variant
343,maximisation,maximization,variant
345,centralisation,centralization,variant
346,rehospitalisation,rehospitalization,variant
347,paralysed,paralyzed,non+AC0-variant
348,polarisation,polarization,variant
349,aerosolised,aerosolized,variant
350,categorising,categorizing,variant
351,universalised,universalized,variant
352,harmonise,harmonize,variant
353,Randomised,Randomized,variant
354,decolonisation,decolonization,variant
355,derivatised,derivatized,variant
356,revolutionised,revolutionized,variant
357,operationalisation,operationalization,variant
358,anodisation,anodization,variant
359,destabilising,destabilizing,variant
360,capitalises,capitalizes,variant
361,endothelialisation,endothelialization,variant
362,catalyses,catalyzes,non+AC0-variant
363,sterilised,sterilized,variant
364,depressurise,depressurize,variant
365,dichotomisation,dichotomization,variant
366,incentivised,incentivized,variant
367,contextualised,contextualized,variant
368,devitalised,devitalized,variant
369,Utilising,Utilizing,variant
370,exteriorisation,exteriorization,variant
371,organise,organize,variant
372,Optimised,Optimized,variant
373,recognisable,recognizable,variant
374,traumatised,traumatized,variant
375,fractionalisation,fractionalization,variant
376,immobilisation,immobilization,variant
377,Hospitalised,Hospitalized,variant
378,resynthesised,resynthesized,variant
379,aerosolisation,aerosolization,variant
380,vocalisations,vocalizations,variant
381,mobilisations,mobilizations,variant
382,hospitalising,hospitalizing,variant
383,metabolisation,metabolization,variant
384,symbolising,symbolizing,variant
385,luteinising,luteinizing,variant
386,Individualised,Individualized,variant
387,hybridisation,hybridization,variant
388,parameterisation,parameterization,variant
389,autoanalyser,autoanalyzer,non+AC0-variant
390,energised,energized,variant
391,Merchandising,Merchandizing,variant
392,verbalise,verbalize,variant
393,diagonalise,diagonalize,variant
394,personalise,personalize,variant
395,operationalised,operationalized,variant
396,emphasising,emphasizing,variant
397,Organisational,Organizational,variant
398,mobilisers,mobilizers,variant
399,Analysing,Analyzing,non+AC0-variant
400,mineralisation,mineralization,variant
401,Analyser,Analyzer,non+AC0-variant
402,resynchronisation,resynchronization,variant
403,generalises,generalizes,variant
404,institutionalisation,institutionalization,variant
405,deionised,deionized,variant
406,mobilisation,mobilization,variant
407,decolonise,decolonize,variant
408,antagonising,antagonizing,variant
409,operationalise,operationalize,variant
410,recognisability,recognizability,variant
411,fistulisation,fistulization,variant
412,horizontalisation,horizontalization,variant
413,operationalising,operationalizing,variant
414,sensitised,sensitized,variant
415,magnetisation,magnetization,variant
416,discretises,discretizes,variant
417,nebulisers,nebulizers,variant
418,subcategorised,subcategorized,variant
419,lateralisation,lateralization,variant
420,pulverised,pulverized,variant
421,democratisation,democratization,variant
422,embolisations,embolizations,variant
423,sensitisation,sensitization,variant
424,theorised,theorized,variant
425,delocalisation,delocalization,variant
426,stylised,stylized,variant
427,digitised,digitized,variant
428,Visualisation,Visualization,variant
429,revascularisation,revascularization,variant
430,hybridised,hybridized,variant
431,apologise,apologize,variant
432,Centralisation,Centralization,variant
433,localises,localizes,variant
434,personalisation,personalization,variant
435,Contextualising,Contextualizing,variant
436,catastrophising,catastrophizing,variant
437,ionisation,ionization,variant
438,Destabilisation,Destabilization,variant
439,euthanised,euthanized,variant
440,familiarised,familiarized,variant
441,individualise,individualize,variant
442,decoloniser,decolonizer,variant
443,neutralising,neutralizing,variant
444,alphabetised,alphabetized,variant
445,mobilised,mobilized,variant
446,chemoembolisation,chemoembolization,variant
447,exteriorised,exteriorized,variant
448,bioanalyser,bioanalyzer,non+AC0-variant
449,derivatisation,derivatization,variant
450,atrialised,atrialized,variant
451,medialisation,medialization,variant
452,oxidised,oxidized,variant
453,devascularised,devascularized,variant
454,colonise,colonize,variant
455,Normalised,Normalized,variant
456,boronisation,boronization,variant
457,visualising,visualizing,variant
458,contextualising,contextualizing,variant
459,sensitising,sensitizing,variant
460,denoised,denoized,variant
461,dichotomised,dichotomized,variant
462,Generalised,Generalized,variant
463,marsupialisation,marsupialization,variant
464,unauthorised,unauthorized,variant
465,familiarisation,familiarization,variant
466,maximising,maximizing,variant
467,embolising,embolizing,variant
468,standardising,standardizing,variant
469,subspecialised,subspecialized,variant
470,hypothesising,hypothesizing,variant
471,modernised,modernized,variant
472,normalising,normalizing,variant
473,emphasise,emphasize,variant
474,hospitalisation,hospitalization,variant
475,reorganisation,reorganization,variant
476,recogniser,recognizer,variant
477,verbalised,verbalized,variant
478,reconceptualise,reconceptualize,variant
479,collateralised,collateralized,variant
480,Microanalyser,Microanalyzer,non+AC0-variant
481,stabilisation,stabilization,variant
482,rationalise,rationalize,variant
483,penalised,penalized,variant
484,vascularisation,vascularization,variant
485,disorganised,disorganized,variant
486,nebulised,nebulized,variant
487,standardise,standardize,variant
488,Synthesised,Synthesized,variant
489,normalises,normalizes,variant
490,conceptualise,conceptualize,variant
491,pressurised,pressurized,variant
492,vascularised,vascularized,variant
493,hospitalised,hospitalized,variant
494,generalisation,generalization,variant
495,lysogenisation,lysogenization,variant
496,nebulisation,nebulization,variant
497,neutralise,neutralize,variant
498,symmetrisation,symmetrization,variant
499,socialisation,socialization,variant
500,sensitise,sensitize,variant
501,oxidising,oxidizing,variant
502,individualising,individualizing,variant
503,neovascularisation,neovascularization,variant
504,popularised,popularized,variant
505,Nebuliser,Nebulizer,variant
506,Individualising,Individualizing,variant
507,contextualise,contextualize,variant
508,penalisation,penalization,variant
509,immunisation,immunization,variant
510,capitalising,capitalizing,variant
511,Categorising,Categorizing,variant
512,internalised,internalized,variant
513,Catastrophising,Catastrophizing,variant
514,humanised,humanized,variant
515,Boronisation,Boronization,variant
516,trypsinisation,trypsinization,variant
517,uncharacterised,uncharacterized,variant
518,fuelled,fueled,non+AC0-variant
519,modelling,modeling,non+AC0-variant
520,pedalling,pedaling,non+AC0-variant
521,equalled,equaled,non+AC0-variant
522,travelling,traveling,non+AC0-variant
523,modElling,modEling,non+AC0-variant
524,trialled,trialed,non+AC0-variant
525,levelled,leveled,non+AC0-variant
526,fulfilment,fulfillment,non+AC0-variant
527,labelled,labeled,non+AC0-variant
528,equalling,equaling,non+AC0-variant
529,modellings,modelings,non+AC0-variant
530,Tunnelling,Tunneling,non+AC0-variant
531,levelling,leveling,non+AC0-variant
532,radiolabelled,radiolabeled,non+AC0-variant
533,rivalling,rivaling,non+AC0-variant
534,Petalling,Petaling,non+AC0-variant
535,panellists,panelists,non+AC0-variant
536,Modelled,Modeled,non+AC0-variant
537,modelled,modeled,non+AC0-variant
538,Radiolabelled,Radiolabeled,non+AC0-variant
539,dialling,dialing,non+AC0-variant
540,tunnelling,tunneling,non+AC0-variant
541,unravelled,unraveled,non+AC0-variant
542,enrolment,enrollment,non+AC0-variant
543,Counselling,Counseling,non+AC0-variant
544,Signalling,Signaling,non+AC0-variant
545,metamodelling,metamodeling,non+AC0-variant
546,wilfully,willfully,non+AC0-variant
547,trialling,trialing,non+AC0-variant
548,fulfil,fulfill,non+AC0-variant
549,Shovelling,Shoveling,non+AC0-variant
550,Labelling,Labeling,non+AC0-variant
551,unlabelled,unlabeled,non+AC0-variant
552,remodelled,remodeled,non+AC0-variant
553,counselled,counseled,non+AC0-variant
554,tunnelled,tunneled,non+AC0-variant
555,unravelling,unraveling,non+AC0-variant
556,bevelled,beveled,non+AC0-variant
557,labelling,labeling,non+AC0-variant
558,cancelled,canceled,non+AC0-variant
559,travelled,traveled,non+AC0-variant
560,remodelling,remodeling,non+AC0-variant
561,counselling,counseling,non+AC0-variant
562,signalling,signaling,non+AC0-variant
563,signalled,signaled,non+AC0-variant
564,counsellors,counselors,non+AC0-variant
565,distil,distill,non+AC0-variant
566,travellers,travelers,non+AC0-variant
567,refuelled,refueled,non+AC0-variant
568,petalling,petaling,non+AC0-variant
569,totalling,totaling,non+AC0-variant
570,Modelling,Modeling,non+AC0-variant
571,calliper,caliper,variant
572,Vapour,Vapor,non+AC0-variant
573,tumouricidal,tumoricidal,non+AC0-variant
574,vapour,vapor,non+AC0-variant
575,colouring,coloring,non+AC0-variant
576,catalogued,cataloged,non+AC0-variant
577,flavoured,flavored,non+AC0-variant
578,odours,odors,non+AC0-variant
579,antitumour,antitumor,non+AC0-variant
580,neighbourhood,neighborhood,non+AC0-variant
581,Humour,Humor,non+AC0-variant
582,tumorus,tumors,non+AC0-variant
583,intratumoural,intratumoral,non+AC0-variant
584,Favoured,Favored,non+AC0-variant
585,pseudotumour,pseudotumor,non+AC0-variant
586,behaviourally,behaviorally,non+AC0-variant
587,multicolour,multicolor,non+AC0-variant
588,odour,odor,non+AC0-variant
589,Neighbour,Neighbor,non+AC0-variant
590,endeavoured,endeavored,non+AC0-variant
591,protumourigenic,protumorigenic,non+AC0-variant
592,honour,honor,non+AC0-variant
593,Tumour,Tumor,non+AC0-variant
594,Colours,Colors,non+AC0-variant
595,harbouring,harboring,non+AC0-variant
596,disfavoured,disfavored,non+AC0-variant
597,tumoural,tumoral,non+AC0-variant
598,Neighbouring,Neighboring,non+AC0-variant
599,favouritism,favoritism,non+AC0-variant
600,demeanour,demeanor,non+AC0-variant
601,behaviuor,behavior,non+AC0-variant
602,humours,humors,non+AC0-variant
603,colourless,colorless,non+AC0-variant
604,moulded,molded,non+AC0-variant
605,Tumours,Tumors,non+AC0-variant
606,endeavouring,endeavoring,non+AC0-variant
607,Labour,Labor,non+AC0-variant
608,tumourlet,tumorlet,non+AC0-variant
609,Unfavourable,Unfavorable,non+AC0-variant
610,Neighbourhood,Neighborhood,non+AC0-variant
611,prelabour,prelabor,non+AC0-variant
612,rigour,rigor,non+AC0-variant
613,oestrogen,estrogen,non+AC0-variant
614,myxoedema,myxedema,non+AC0-variant
615,oesophageal,esophageal,non+AC0-variant
616,spermatorrhoea,spermatorrhea,non+AC0-variant
617,oedematous,edematous,non+AC0-variant
618,oedemas,edemas,non+AC0-variant
619,oestradiol,estradiol,non+AC0-variant
620,oesophagus,esophagus,non+AC0-variant
621,dyspnoeic,dyspneic,non+AC0-variant
622,lymphoedema,lymphedema,non+AC0-variant
623,ischaemic,ischemic,non+AC0-variant
624,Haematoma,Hematoma,non+AC0-variant
625,haemolysis,hemolysis,non+AC0-variant
626,leukaemic,leukemic,non+AC0-variant
627,haematocrit,hematocrit,non+AC0-variant
628,haemorrhagic,hemorrhagic,non+AC0-variant
629,Haematogenous,Hematogenous,non+AC0-variant
630,Paediatricians,Pediatricians,non+AC0-variant
631,Haemostasis,Hemostasis,non+AC0-variant
632,anaesthetist,anesthetist,non+AC0-variant
633,haemolytic,hemolytic,non+AC0-variant
634,hyperaemia,hyperemia,non+AC0-variant
635,hyperglycaemia,hyperglycemia,non+AC0-variant
636,haemato,hemato,non+AC0-variant
637,Haemophagocytic,Hemophagocytic,non+AC0-variant
638,anaesthesiologist,anesthesiologist,non+AC0-variant
639,thalassaemia,thalassemia,non+AC0-variant
640,hyperlipidaemia,hyperlipidemia,non+AC0-variant
641,gynaecologists,gynecologists,non+AC0-variant
642,Haematology,Hematology,non+AC0-variant
643,haemorrhages,hemorrhages,non+AC0-variant
644,aetiologies,etiologies,non+AC0-variant
645,anaesthetists,anesthetists,non+AC0-variant
646,Paediatric,Pediatric,non+AC0-variant
647,gynaecologic,gynecologic,non+AC0-variant
648,haematogenous,hematogenous,non+AC0-variant
649,anaesthestic,anesthestic,non+AC0-variant
650,haemostatic,hemostatic,non+AC0-variant
651,haemodynamic,hemodynamic,non+AC0-variant
652,haemoptysis,hemoptysis,non+AC0-variant
653,haematomas,hematomas,non+AC0-variant
654,haemangiopericytoma,hemangiopericytoma,non+AC0-variant
655,hypoglycaemic,hypoglycemic,non+AC0-variant
656,haemorrages,hemorrages,non+AC0-variant
657,aetiopathogenesis,etiopathogenesis,non+AC0-variant
658,hyperinsulinaemic,hyperinsulinemic,non+AC0-variant
659,gynaecological,gynecological,non+AC0-variant
660,aetiological,etiological,non+AC0-variant
661,orthopaedists,orthopedists,non+AC0-variant
662,haemostasis,hemostasis,non+AC0-variant
663,aetiology,etiology,non+AC0-variant
664,nonischaemic,nonischemic,non+AC0-variant
665,haematosalpinx,hematosalpinx,non+AC0-variant
666,haematologic,hematologic,non+AC0-variant
667,anaesthesist,anesthesist,non+AC0-variant
668,Ischaemic,Ischemic,non+AC0-variant
669,haematochezia,hematochezia,non+AC0-variant
670,Septicaemia,Septicemia,non+AC0-variant
671,dyslipidaemia,dyslipidemia,non+AC0-variant
672,urogynaecological,urogynecological,non+AC0-variant
673,glycaemia,glycemia,non+AC0-variant
674,Orthopaedic,Orthopedic,non+AC0-variant
675,anaemic,anemic,non+AC0-variant
676,Haemophilus,Hemophilus,non+AC0-variant
677,caecum,cecum,non+AC0-variant
678,Haematuria,Hematuria,non+AC0-variant
679,haemorrhaging,hemorrhaging,non+AC0-variant
680,haemodynamics43,hemodynamics43,non+AC0-variant
681,Dyslipidaemia,Dyslipidemia,non+AC0-variant
682,hypoalbuminaemia,hypoalbuminemia,non+AC0-variant
683,hypoglycaemia,hypoglycemia,non+AC0-variant
684,hyperaemic,hyperemic,non+AC0-variant
685,hyperglycaemic,hyperglycemic,non+AC0-variant
686,haemorrhage,hemorrhage,non+AC0-variant
687,haemoglobinuria,hemoglobinuria,non+AC0-variant
688,Leukaemia,Leukemia,non+AC0-variant
689,Glycaemic,Glycemic,non+AC0-variant
690,caecal,cecal,non+AC0-variant
691,aesthetic,esthetic,non+AC0-variant
692,haemagglutination,hemagglutination,non+AC0-variant
693,archaeological,archeological,non+AC0-variant
694,gynaecologist,gynecologist,non+AC0-variant
695,ileocaecal,ileocecal,non+AC0-variant
696,anaesthetically,anesthetically,non+AC0-variant
697,leukaemias,leukemias,non+AC0-variant
698,Hypoalbuminaemia,Hypoalbuminemia,non+AC0-variant
699,Haematological,Hematological,non+AC0-variant
700,haemodialysis,hemodialysis,non+AC0-variant
701,haematologist,hematologist,non+AC0-variant
702,haemangiosarcoma,hemangiosarcoma,non+AC0-variant
703,haematopoiesis,hematopoiesis,non+AC0-variant
704,deoxyhaemoglobin,deoxyhemoglobin,non+AC0-variant
705,dyshaematopoiesis,dyshematopoiesis,non+AC0-variant
706,hypophosphataemia,hypophosphatemia,non+AC0-variant
707,thrombocythaemia,thrombocythemia,non+AC0-variant
708,faecal,fecal,non+AC0-variant
709,haemoglobin,hemoglobin,non+AC0-variant
710,Anaesthesia,Anesthesia,non+AC0-variant
711,viraemia,viremia,non+AC0-variant
712,Anaesthesiologists,Anesthesiologists,non+AC0-variant
713,ischaemia,ischemia,non+AC0-variant
714,anaesthetized,anesthetized,non+AC0-variant
715,anaesthesiology,anesthesiology,non+AC0-variant
716,faecaluria,fecaluria,non+AC0-variant
717,Caecal,Cecal,non+AC0-variant
718,LeukaemiaNet,LeukemiaNet,non+AC0-variant
719,Faecal,Fecal,non+AC0-variant
720,haemoperitoneum,hemoperitoneum,non+AC0-variant
721,paediatric,pediatric,non+AC0-variant
722,haemangiomas,hemangiomas,non+AC0-variant
723,haemodynamically,hemodynamically,non+AC0-variant
724,anaemia,anemia,non+AC0-variant
725,paraesthesias,paresthesias,non+AC0-variant
726,haemodynamics,hemodynamics,non+AC0-variant
727,hypercholesterolaemia,hypercholesterolemia,non+AC0-variant
728,orthopaedic,orthopedic,non+AC0-variant
729,melaena,melena,non+AC0-variant
730,haematoma,hematoma,non+AC0-variant
731,gynaecology,gynecology,non+AC0-variant
732,haematuria,hematuria,non+AC0-variant
733,Gynaecology,Gynecology,non+AC0-variant
734,bacteraemia,bacteremia,non+AC0-variant
735,leukaemia,leukemia,non+AC0-variant
736,kinaesthetic,kinesthetic,non+AC0-variant
737,haemangioma,hemangioma,non+AC0-variant
738,bacteraemias,bacteremias,non+AC0-variant
739,Haemoptysis,Hemoptysis,non+AC0-variant
740,nonhaematologic,nonhematologic,non+AC0-variant
741,haematoxylin,hematoxylin,non+AC0-variant
742,anaesthetics,anesthetics,non+AC0-variant
743,Hyperlipidaemia,Hyperlipidemia,non+AC0-variant
744,orthopaedics,orthopedics,non+AC0-variant
745,anaesthesia,anesthesia,non+AC0-variant
746,Orthopaedics,Orthopedics,non+AC0-variant
747,paediatrician,pediatrician,non+AC0-variant
748,faeces,feces,non+AC0-variant
749,haematology,hematology,non+AC0-variant
750,Haemorrhagic,Hemorrhagic,non+AC0-variant
751,paediatricians,pediatricians,non+AC0-variant
752,haematological,hematological,non+AC0-variant
753,haemosiderosis,hemosiderosis,non+AC0-variant
754,paediatrics,pediatrics,non+AC0-variant
755,aetiologic,etiologic,non+AC0-variant
756,anaesthetic,anesthetic,non+AC0-variant
757,encyclopaedia,encyclopedia,non+AC0-variant
758,glycaemic,glycemic,non+AC0-variant
759,Haemoglobin,Hemoglobin,non+AC0-variant
760,antileukaemic,antileukemic,non+AC0-variant
761,osteoarchaeological,osteoarcheological,non+AC0-variant
762,haematopoietic,hematopoietic,non+AC0-variant
763,anaesthesiologists,anesthesiologists,non+AC0-variant
764,skilful,skillful,non+AC0-variant
765,enrol,enroll,non+AC0-variant
766,instil,instill,non+AC0-variant
767,instalment,installment,non+AC0-variant
768,fulfils,fulfills,non+AC0-variant
769,jewellers,jewelers,non+AC0-variant
